run,route_idx,route_label,bin_label,bin_value,argmax_count,argmax_rate,true_nearest_count,true_nearest_rate,avg_probability
gptoss_eval,1,expert_0:openai/gpt-oss-120b,M,0.6,0,0.0,7,0.03932584269662921,0.039976615647084254
gptoss_eval,1,expert_0:openai/gpt-oss-120b,N,0.65,12,0.06741573033707865,7,0.03932584269662921,0.05156478929867068
gptoss_eval,1,expert_0:openai/gpt-oss-120b,O,0.7,2,0.011235955056179775,7,0.03932584269662921,0.042116850093948874
gptoss_eval,1,expert_0:openai/gpt-oss-120b,P,0.75,0,0.0,7,0.03932584269662921,0.026646163037277005
gptoss_eval,1,expert_0:openai/gpt-oss-120b,Q,0.8,0,0.0,6,0.033707865168539325,0.028119684864107646
gptoss_eval,1,expert_0:openai/gpt-oss-120b,R,0.85,0,0.0,4,0.02247191011235955,0.02778163576025118
gptoss_eval,1,expert_0:openai/gpt-oss-120b,S,0.9,0,0.0,3,0.016853932584269662,0.02834267181401884
gptoss_eval,1,expert_0:openai/gpt-oss-120b,T,0.95,19,0.10674157303370786,7,0.03932584269662921,0.040223916006284985
gptoss_eval,1,expert_0:openai/gpt-oss-120b,U,1.0,0,0.0,2,0.011235955056179775,0.02467389124853725
gemini_eval,0,primary_model,A,0.0,42,0.23595505617977527,31,0.17415730337078653,0.18890304498772106
gemini_eval,0,primary_model,B,0.05,0,0.0,2,0.011235955056179775,0.010850751326972713
gemini_eval,0,primary_model,C,0.1,1,0.0056179775280898875,2,0.011235955056179775,0.03770734824690172
gemini_eval,0,primary_model,D,0.15,5,0.028089887640449437,13,0.07303370786516854,0.057302746355724576
gemini_eval,0,primary_model,E,0.2,26,0.14606741573033707,10,0.056179775280898875,0.07432596474621717
gemini_eval,0,primary_model,F,0.25,32,0.1797752808988764,16,0.0898876404494382,0.07881112486121422
gemini_eval,0,primary_model,G,0.3,38,0.21348314606741572,19,0.10674157303370786,0.08207144297635198
gemini_eval,0,primary_model,H,0.35,0,0.0,15,0.08426966292134831,0.0602356724756125
gemini_eval,0,primary_model,I,0.4,0,0.0,12,0.06741573033707865,0.05505187355398509
gemini_eval,0,primary_model,J,0.45,12,0.06741573033707865,12,0.06741573033707865,0.06593253198394103
gemini_eval,0,primary_model,K,0.5,10,0.056179775280898875,10,0.056179775280898875,0.05599076189267517
gemini_eval,0,primary_model,L,0.55,8,0.0449438202247191,5,0.028089887640449437,0.0523372914251953
gemini_eval,0,primary_model,M,0.6,1,0.0056179775280898875,7,0.03932584269662921,0.03558682511588864
gemini_eval,0,primary_model,N,0.65,0,0.0,10,0.056179775280898875,0.030817391711454464
gemini_eval,0,primary_model,O,0.7,0,0.0,3,0.016853932584269662,0.028847474037708678
gemini_eval,0,primary_model,P,0.75,1,0.0056179775280898875,1,0.0056179775280898875,0.023584188634650376
gemini_eval,0,primary_model,Q,0.8,0,0.0,3,0.016853932584269662,0.011161102853634475
gemini_eval,0,primary_model,R,0.85,0,0.0,1,0.0056179775280898875,0.01002137861288053
gemini_eval,0,primary_model,S,0.9,0,0.0,2,0.011235955056179775,0.011993130324309492
gemini_eval,0,primary_model,T,0.95,2,0.011235955056179775,3,0.016853932584269662,0.01898135396658893
gemini_eval,0,primary_model,U,1.0,0,0.0,1,0.0056179775280898875,0.00948660248143548
gemini_eval,1,expert_0:google/gemini-3-flash-preview,A,0.0,6,0.033707865168539325,7,0.03932584269662921,0.0284854345863392
gemini_eval,1,expert_0:google/gemini-3-flash-preview,B,0.05,0,0.0,2,0.011235955056179775,0.015806015365066404
gemini_eval,1,expert_0:google/gemini-3-flash-preview,C,0.1,4,0.02247191011235955,2,0.011235955056179775,0.03792685166320481
gemini_eval,1,expert_0:google/gemini-3-flash-preview,D,0.15,15,0.08426966292134831,7,0.03932584269662921,0.054891525056171286
gemini_eval,1,expert_0:google/gemini-3-flash-preview,E,0.2,14,0.07865168539325842,7,0.03932584269662921,0.06180817747928118
gemini_eval,1,expert_0:google/gemini-3-flash-preview,F,0.25,23,0.12921348314606743,8,0.0449438202247191,0.06893546749534232
gemini_eval,1,expert_0:google/gemini-3-flash-preview,G,0.3,37,0.20786516853932585,16,0.0898876404494382,0.07074680805122585
gemini_eval,1,expert_0:google/gemini-3-flash-preview,H,0.35,3,0.016853932584269662,11,0.06179775280898876,0.06002423856825976
gemini_eval,1,expert_0:google/gemini-3-flash-preview,I,0.4,0,0.0,9,0.05056179775280899,0.048633685869196155
gemini_eval,1,expert_0:google/gemini-3-flash-preview,J,0.45,4,0.02247191011235955,5,0.028089887640449437,0.05941434590711018
gemini_eval,1,expert_0:google/gemini-3-flash-preview,K,0.5,0,0.0,12,0.06741573033707865,0.05483941479554672
